songID|songName|songLyric|Author
58825|GIÚP ANH TRẢ LỜI NHỮNG CÂU HỎI|Hôm qua anh mơ hay... Tất cả là sự thật... Sao môi anh...|Vương Anh Tú
50489|TÌNH NHẠT PHAI|Chiều buồn nghiêng nắng…|Nhạc Hoa
56069|ÉO LE CUỘC TÌNH|Đâu phải có tiền mua được hạnh phúc, đâu phải tình yêu...|Thái Khang
56210|TÌM LẠI BẦU TRỜI|Anh khóc vì giờ đây anh đã mất em rồi, anh khóc...|Khắc Việt
51055|TÌNH CHA|Một chiều lang thang mình tôi bước âm thầm…|Quốc Vượng
52772|LỖI LẦM|Có khi nào em buồn em nhớ đến anh, có khi nào…|Minh Khang
53283|GỌI ĐÒ|Gọi đò ơi, ai giúp đưa tôi kịp sang đò...|Hồng Xương Long
57079|LẮNG NGHE NƯỚC MẮT|Buổi sáng hôm ấy thấy em chợt khóc Rồi vội vàng lau thật...|Mr. Siro
55477|ANH BA KHÍA|Tên của tôi biệt danh anh Ba Khía, sống nơi ruộng đồng…|Sơn Hạ
57628|NÔ LỆ TÌNH YÊU|Có lẽ ông trời đã cho mình quen biết nhau Có lẽ...|Hồ Việt Trung
57535|ĐỨT TỪNG ĐOẠN RUỘT|Thời gian không làm cho vết thương xe lành|Khánh Đơn
51548|SAY TÌNH|Rót mãi những chén chua cay…|Nhạc ngoại
52114|VÌ YÊU|Nắm tay nhau trên đường tung tăng vui ca ngày tháng…|Xuân Hiếu
54913|CẦU VỒNG SAU MƯA|Đứng giữa con đường mưa, anh vô tình nhớ một nụ cười...|Nguyễn Văn Chung
55557|TRANG GIẤY TRẮNG|Anh nhớ lúc mới biết yêu lần đầu, tình ta trong xanh...|Phạm Trưởng
57871|NGƯỜI TÔI YÊU|Bao đêm trôi qua chỉ thêm buốt giá con tim. Nhớ hoài dù...|Chi Dân
57600|MÓN QUÀ CUỐI|Con đường xa lắm sao anh để em đi một mình|Khánh Đơn
54266|KHÚC HÁT MỪNG SINH NHẬT|Ngày hôm nay ta cùng hợp hoan nơi đây, mọi người...|Phan Đinh Tùng
58428|CON BƯỚM XUÂN|Con bướm xinh, con bướm xinh, con bướm đa tình Đùa vui với...|Dật Danh
55750|KHÓ|Anh lặng nghe biển đêm mênh mang sóng vỗ tràn...|Khắc Việt
53691|CHUYỆN BA MÙA MƯA|Đời từ muôn thuở tiếng mưa có vui bao giờ ...|Minh Kỳ
56173|NỬA VẦNG TRĂNG|Có hai nử a vầng trăng tìm nhau cho tròn bóng đêm, có hai người chờ nhau...|Trương Ngọc Ninh
55445|TÔN THỜ MỘT TÌNH YÊU|Từng năm tháng vô tình vì người yêu dối gian mình...|Bằng Cường
52821|THƯ CUỐI|Lá thư này em gửi cho anh, còn vụng về còn ngu ngơ…|Hồng Xương Long
55068|NGƯỜI THỨ BA|Tình mình như giấc mơ, bao phút giây thơ mộng...|Minh Vy
57345|QUÊN CÁCH YÊU|Từ bao lâu không thấy nhớ, em đã không nói|Khánh Đơn
52407|NỢ DUYÊN|Bóng dáng ai đẹp xinh cho lòng ta đang chìm đắm..|Thái Khang
51462|CHÂN TÌNH|Mùa xuân vừa đến hoa về trên những bàn tay Và em vừa...|Trần Lê Quỳnh
53080|YÊU LẠI TỪ ĐẦU|Rừng đang mùa thay lá, loài người vẫn đang yêu...|Phạm Đăng Khương
51080|XÓT XA|Đã lâu không còn yêu…|Nguyễn Ngọc Tài
53949|THÀNH PHỐ BUỒN|Thành phố nào nhớ không em, nơi chúng mình...|Lam Phương
55881|NẾU NHƯ ANH ĐẾN|Làn tóc rối bờ môi khô hàng mi buông mắt đen thật buồn…|Nguyễn Đức Cường
52492|ĐỨA BÉ|Trong đêm một bàn chân bước bé xíu lang thang...|Minh Khang
59380|AI RỒI CŨNG KHÁC|Đường rộng thênh thang bước chân em đi về đâu? Lời nào...|Hamlet Trương
55550|TÌM LẠI GIẤC MƠ|Đêm đi qua sao tim buốt giá, cơn mưa đêm như cào sâu...|Nguyễn Hồng Thuận
56282|CÀ PHÊ ĐẮNG VÀ MƯA|Ngồi lặng thinh quán vắng tênh em một mình Chẳng còn anh nhưng...|Nguyễn Văn Chung
58422|CHỜ NGƯỜI NƠI ẤY|Ngồi lại nhấp chén say Lắng trong lòng mình những đắng cay Ngày dài...|Huy Tuấn
52956|VỀ MIỀN TÂY|Hò ơi...Miền Cần Thơ gạo trắng nước trong, vui niềm vui ấm no…|Tô Thanh Tùng
52907|KHÓC CHO NGƯỜI ĐI|Ở lại đây chỉ còn hai chúng ta, nói ra đi những suy tư…|Duy Mạnh
59208|NẮM LẤY TAY ANH|Ngày ta sánh đôi, hạnh phúc nói cười Chỉ mong thế thôi,...|Tú Dưa
